# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_3/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_mu.1.4,alfa_beta_mu.1.5,alfa_beta_mu.1.6,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_sigma.1.4,alfa_beta_sigma.1.5,alfa_beta_sigma.1.6,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_1.1.4,alfa_beta_lambda_1.1.5,alfa_beta_lambda_1.1.6,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_lambda_2.1.4,alfa_beta_lambda_2.1.5,alfa_beta_lambda_2.1.6,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,alfa_beta_theta.1.4,alfa_beta_theta.1.5,alfa_beta_theta.1.6,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_mu.1.4,beta_mu.1.5,beta_mu.1.6,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_sigma.1.4,beta_sigma.1.5,beta_sigma.1.6,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_1.1.4,beta_lambda_1.1.5,beta_lambda_1.1.6,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_lambda_2.1.4,beta_lambda_2.1.5,beta_lambda_2.1.6,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3,beta_theta.1.4,beta_theta.1.5,beta_theta.1.6
7763.42,0.964596,0.00222945,5,31,0,-7579.13,0.510484,1.24294,0.204993,-0.266566,0.786453,-0.323334,0.646766,-0.0868062,-0.481256,0.150085,-0.549439,-0.9846,-2.56189,0.535802,-0.59066,0.606955,1.24508,0.443991,-0.642231,0.0358649,-1.27057,0.0720753,-1.99181,-2.55312,0.617111,0.132536,-0.0165757,-0.435859,0.467566,0.210139,0.510484,1.24294,0.204993,-0.266566,0.786453,-0.323334,0.646766,-0.0868062,-0.481256,0.150085,-0.549439,-0.9846,-7.56189,0.535802,-0.59066,0.606955,1.24508,0.443991,-5.64223,0.0358649,-1.27057,0.0720753,-1.99181,-2.55312,0.617111,0.132536,-0.0165757,-0.435859,0.467566,0.210139
7803.48,0.983885,0.00389104,4,15,0,-7753.63,0.512811,1.26313,0.240967,-0.242325,0.752863,-0.31945,0.627703,-0.0797679,-0.473207,0.112524,-0.519212,-0.968821,-2.59415,0.554621,-0.56689,0.596576,1.27293,0.437808,-0.693356,0.0437894,-1.3012,0.106186,-2.01518,-2.53957,0.617704,0.121555,-0.010336,-0.430093,0.467798,0.223668,0.512811,1.26313,0.240967,-0.242325,0.752863,-0.31945,0.627703,-0.0797679,-0.473207,0.112524,-0.519212,-0.968821,-7.59415,0.554621,-0.56689,0.596576,1.27293,0.437808,-5.69336,0.0437894,-1.3012,0.106186,-2.01518,-2.53957,0.617704,0.121555,-0.010336,-0.430093,0.467798,0.223668
7838.61,0.956301,0.00712853,3,7,0,-7790.73,0.523317,1.223,0.297198,-0.227883,0.732444,-0.312791,0.597828,-0.0839534,-0.503953,0.133291,-0.510185,-0.972302,-2.58157,0.580453,-0.56695,0.600552,1.28112,0.451081,-0.737161,0.0714299,-1.33181,0.141819,-1.99934,-2.58014,0.6384,0.141926,-0.0279292,-0.416545,0.501665,0.219799,0.523317,1.223,0.297198,-0.227883,0.732444,-0.312791,0.597828,-0.0839534,-0.503953,0.133291,-0.510185,-0.972302,-7.58157,0.580453,-0.56695,0.600552,1.28112,0.451081,-5.73716,0.0714299,-1.33181,0.141819,-1.99934,-2.58014,0.6384,0.141926,-0.0279292,-0.416545,0.501665,0.219799
7838.61,0.0348883,0.011942,3,7,0,-7823.63,0.523317,1.223,0.297198,-0.227883,0.732444,-0.312791,0.597828,-0.0839534,-0.503953,0.133291,-0.510185,-0.972302,-2.58157,0.580453,-0.56695,0.600552,1.28112,0.451081,-0.737161,0.0714299,-1.33181,0.141819,-1.99934,-2.58014,0.6384,0.141926,-0.0279292,-0.416545,0.501665,0.219799,0.523317,1.223,0.297198,-0.227883,0.732444,-0.312791,0.597828,-0.0839534,-0.503953,0.133291,-0.510185,-0.972302,-7.58157,0.580453,-0.56695,0.600552,1.28112,0.451081,-5.73716,0.0714299,-1.33181,0.141819,-1.99934,-2.58014,0.6384,0.141926,-0.0279292,-0.416545,0.501665,0.219799
7927.94,0.993543,0.00139467,6,63,0,-7817.39,0.448042,1.27411,0.314977,-0.206086,0.636586,-0.271201,0.567094,-0.061381,-0.487609,0.105314,-0.525788,-1.04359,-2.56715,0.575504,-0.526942,0.639931,1.30143,0.5451,-0.8956,0.0817133,-1.38713,0.112231,-2.04422,-2.69377,0.677672,0.136675,0.0145335,-0.419498,0.523384,0.213971,0.448042,1.27411,0.314977,-0.206086,0.636586,-0.271201,0.567094,-0.061381,-0.487609,0.105314,-0.525788,-1.04359,-7.56715,0.575504,-0.526942,0.639931,1.30143,0.5451,-5.8956,0.0817133,-1.38713,0.112231,-2.04422,-2.69377,0.677672,0.136675,0.0145335,-0.419498,0.523384,0.213971
7934.37,0.998062,0.00261549,4,15,0,-7914.75,0.441642,1.27345,0.320862,-0.193019,0.631919,-0.266725,0.565132,-0.0703822,-0.488631,0.112305,-0.524943,-1.04424,-2.56954,0.57645,-0.52533,0.638389,1.31088,0.538744,-0.908573,0.0858478,-1.38627,0.10918,-2.04223,-2.6903,0.680109,0.138418,0.0147675,-0.41823,0.519425,0.221704,0.441642,1.27345,0.320862,-0.193019,0.631919,-0.266725,0.565132,-0.0703822,-0.488631,0.112305,-0.524943,-1.04424,-7.56954,0.57645,-0.52533,0.638389,1.31088,0.538744,-5.90857,0.0858478,-1.38627,0.10918,-2.04223,-2.6903,0.680109,0.138418,0.0147675,-0.41823,0.519425,0.221704
8054.92,0.970347,0.00491766,4,15,0,-7917.31,0.501611,1.2709,0.414114,-0.146395,0.58345,-0.236426,0.477113,-0.0162274,-0.504351,0.0815872,-0.557234,-1.01277,-2.53636,0.577095,-0.545808,0.619304,1.32385,0.600877,-1.12927,0.245379,-1.38602,0.165016,-2.09723,-2.73692,0.6807,0.0818944,0.0247346,-0.368474,0.506418,0.144233,0.501611,1.2709,0.414114,-0.146395,0.58345,-0.236426,0.477113,-0.0162274,-0.504351,0.0815872,-0.557234,-1.01277,-7.53636,0.577095,-0.545808,0.619304,1.32385,0.600877,-6.12927,0.245379,-1.38602,0.165016,-2.09723,-2.73692,0.6807,0.0818944,0.0247346,-0.368474,0.506418,0.144233
8263.54,0.730118,0.00846537,3,7,0,-8042.81,0.392002,1.25769,0.610685,-0.120133,0.44163,-0.327535,0.358826,0.0280486,-0.425255,0.0757841,-0.617456,-1.01554,-2.63507,0.600385,-0.443065,0.541592,1.32409,0.674399,-1.40109,0.35281,-1.42353,0.12134,-2.13959,-2.74489,0.685715,0.0527098,0.114492,-0.34884,0.488324,0.236335,0.392002,1.25769,0.610685,-0.120133,0.44163,-0.327535,0.358826,0.0280486,-0.425255,0.0757841,-0.617456,-1.01554,-7.63507,0.600385,-0.443065,0.541592,1.32409,0.674399,-6.40109,0.35281,-1.42353,0.12134,-2.13959,-2.74489,0.685715,0.0527098,0.114492,-0.34884,0.488324,0.236335
8282.53,0.640416,0.00739741,3,7,0,-8251.19,0.399687,1.26172,0.625441,-0.132767,0.440988,-0.320669,0.359433,0.0262693,-0.423775,0.0588604,-0.63642,-0.982825,-2.65139,0.595079,-0.434569,0.557998,1.34963,0.66062,-1.42127,0.372526,-1.40111,0.122193,-2.13607,-2.74435,0.676696,0.046616,0.105029,-0.317046,0.466092,0.233964,0.399687,1.26172,0.625441,-0.132767,0.440988,-0.320669,0.359433,0.0262693,-0.423775,0.0588604,-0.63642,-0.982825,-7.65139,0.595079,-0.434569,0.557998,1.34963,0.66062,-6.42127,0.372526,-1.40111,0.122193,-2.13607,-2.74435,0.676696,0.046616,0.105029,-0.317046,0.466092,0.233964
8585.7,0.849417,0.00505783,4,15,0,-8267.26,0.309449,1.26255,0.817482,-0.1638,0.303596,-0.334292,0.252966,0.0422793,-0.307042,0.00662116,-0.681965,-1.02327,-2.59167,0.496913,-0.295872,0.446601,1.33127,0.792706,-1.8071,0.461692,-1.26132,0.166486,-2.15384,-2.6816,0.67035,0.00936053,0.0952697,-0.332996,0.456076,0.312809,0.309449,1.26255,0.817482,-0.1638,0.303596,-0.334292,0.252966,0.0422793,-0.307042,0.00662116,-0.681965,-1.02327,-7.59167,0.496913,-0.295872,0.446601,1.33127,0.792706,-6.8071,0.461692,-1.26132,0.166486,-2.15384,-2.6816,0.67035,0.00936053,0.0952697,-0.332996,0.456076,0.312809
