# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=18011996
# chain_id=3
# iter=600
# warmup=200
# save_warmup=1
# thin=1
# refresh=10
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=Simulations/simulation_2/chain_data_nngp_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alfa_beta_mu.1.1,alfa_beta_mu.1.2,alfa_beta_mu.1.3,alfa_beta_sigma.1.1,alfa_beta_sigma.1.2,alfa_beta_sigma.1.3,alfa_beta_lambda_1.1.1,alfa_beta_lambda_1.1.2,alfa_beta_lambda_1.1.3,alfa_beta_lambda_2.1.1,alfa_beta_lambda_2.1.2,alfa_beta_lambda_2.1.3,alfa_beta_theta.1.1,alfa_beta_theta.1.2,alfa_beta_theta.1.3,beta_mu.1.1,beta_mu.1.2,beta_mu.1.3,beta_sigma.1.1,beta_sigma.1.2,beta_sigma.1.3,beta_lambda_1.1.1,beta_lambda_1.1.2,beta_lambda_1.1.3,beta_lambda_2.1.1,beta_lambda_2.1.2,beta_lambda_2.1.3,beta_theta.1.1,beta_theta.1.2,beta_theta.1.3
5337.11,1,0.00358075,6,63,0,-5056.84,0.918144,1.26438,-0.251202,1.07146,0.108512,-1.22507,-2.37753,-1.02068,1.02564,-3.74747,1.27154,1.66911,0.31251,0.0425449,1.08783,0.918144,1.26438,-0.251202,1.07146,0.108512,-1.22507,-5.37753,-1.02068,-1.97436,-6.74747,1.27154,-1.33089,0.31251,0.0425449,1.08783
5372.45,0.625857,0.00654893,4,15,0,-5328.2,0.844374,1.19532,-0.36871,0.932423,0.0771802,-1.01911,-2.34711,-0.976279,1.02967,-3.95626,1.11725,1.65709,0.36842,-0.0163769,0.989116,0.844374,1.19532,-0.36871,0.932423,0.0771802,-1.01911,-5.34711,-0.976279,-1.97033,-6.95626,1.11725,-1.34291,0.36842,-0.0163769,0.989116
5375.71,1,0.00436439,6,63,0,-5366.67,0.844822,1.20603,-0.357027,0.918496,0.0818456,-1.01715,-2.34366,-0.995863,1.02758,-3.94088,1.09939,1.67637,0.376343,0.00298407,0.98901,0.844822,1.20603,-0.357027,0.918496,0.0818456,-1.01715,-5.34366,-0.995863,-1.97242,-6.94088,1.09939,-1.32363,0.376343,0.00298407,0.98901
5382.24,0.463718,0.00789079,3,7,0,-5370.4,0.84156,1.21669,-0.361575,0.93582,0.0717677,-1.03965,-2.3573,-0.999295,1.03666,-3.9397,1.11021,1.69184,0.359156,0.000524663,0.978372,0.84156,1.21669,-0.361575,0.93582,0.0717677,-1.03965,-5.3573,-0.999295,-1.96334,-6.9397,1.11021,-1.30816,0.359156,0.000524663,0.978372
5404.74,0.99978,0.00344963,5,31,0,-5376.84,0.70551,1.12501,-0.355884,0.868192,0.0528425,-1.11703,-2.58291,-0.990905,1.00838,-3.99357,1.1238,1.73713,0.325005,0.00830405,1.04807,0.70551,1.12501,-0.355884,0.868192,0.0528425,-1.11703,-5.58291,-0.990905,-1.99162,-6.99357,1.1238,-1.26287,0.325005,0.00830405,1.04807
5421.14,0.675069,0.00618492,4,15,0,-5393.72,0.622088,1.17636,-0.366833,0.769961,0.016613,-0.934405,-2.56519,-1.02321,1.12816,-4.09842,1.03219,1.74065,0.306723,0.0199099,1.09909,0.622088,1.17636,-0.366833,0.769961,0.016613,-0.934405,-5.56519,-1.02321,-1.87184,-7.09842,1.03219,-1.25935,0.306723,0.0199099,1.09909
5431.17,0.997464,0.00474074,4,15,0,-5417.01,0.594734,1.16744,-0.370289,0.775374,0.0161998,-0.992143,-2.67007,-1.05913,1.14789,-4.08549,0.992225,1.75654,0.319992,-0.0512568,1.09377,0.594734,1.16744,-0.370289,0.775374,0.0161998,-0.992143,-5.67007,-1.05913,-1.85211,-7.08549,0.992225,-1.24346,0.319992,-0.0512568,1.09377
5436.32,0.886238,0.00834981,4,15,0,-5426.21,0.578728,1.19849,-0.409028,0.749217,-0.00279145,-0.989462,-2.6622,-1.03763,1.16966,-4.12682,1.0024,1.7589,0.296783,-0.0316966,1.04307,0.578728,1.19849,-0.409028,0.749217,-0.00279145,-0.989462,-5.6622,-1.03763,-1.83034,-7.12682,1.0024,-1.2411,0.296783,-0.0316966,1.04307
5450.9,0.874358,0.0109786,3,7,0,-5434.39,0.522456,1.21625,-0.404978,0.738462,0.0116467,-0.908784,-2.73719,-1.0678,1.26654,-4.14503,1.05957,1.84803,0.306782,0.00455087,1.052,0.522456,1.21625,-0.404978,0.738462,0.0116467,-0.908784,-5.73719,-1.0678,-1.73346,-7.14503,1.05957,-1.15197,0.306782,0.00455087,1.052
5448.46,0.2,0.0139471,2,5,1,-5442.18,0.529636,1.23603,-0.400589,0.742303,-0.0111226,-0.920356,-2.75881,-1.06265,1.25761,-4.12803,1.05274,1.87273,0.316595,-0.000148956,1.05191,0.529636,1.23603,-0.400589,0.742303,-0.0111226,-0.920356,-5.75881,-1.06265,-1.74239,-7.12803,1.05274,-1.12727,0.316595,-0.000148956,1.05191
